date;time;value
2-01-2017;12:05:30;0
2-01-2017;12:09:12;1
2-01-2017;12:09:12;0
2-01-2017;12:09:12;0
2-01-2017;12:09:12;0
2-01-2017;12:09:12;1
2-01-2017;12:09:12;0
2-01-2017;12:09:12;1
2-01-2017;12:09:12;1
2-01-2017;12:09:12;0
2-01-2017;12:09:12;0
2-01-2017;12:09:12;0
2-01-2017;12:09:12;0
2-01-2017;12:09:12;1
2-01-2017;12:09:12;0
2-01-2017;12:09:12;1
2-01-2017;12:09:12;0
2-01-2017;12:09:12;0
2-01-2017;12:09:12;0
2-01-2017;12:09:12;0
2-01-2017;12:09:12;1
2-01-2017;14:02:42;1
2-01-2017;14:05:05;1
2-01-2017;14:05:07;1
2-01-2017;14:05:09;2
2-01-2017;14:05:11;1
2-01-2017;14:05:13;2
2-01-2017;14:05:15;1
2-01-2017;14:05:17;2
2-01-2017;14:05:19;1
2-01-2017;14:05:21;1
2-01-2017;14:05:23;1
2-01-2017;14:08:00;0
2-01-2017;14:08:02;0
2-01-2017;14:08:04;2
2-01-2017;14:08:06;0
2-01-2017;14:08:08;0
2-01-2017;14:08:10;2
2-01-2017;14:08:12;2
2-01-2017;14:08:14;2
2-01-2017;14:08:16;2
2-01-2017;14:08:18;2
2-01-2017;14:08:20;0
2-01-2017;14:08:22;1
2-01-2017;14:08:24;0
2-01-2017;14:08:26;0
2-01-2017;14:08:28;0
2-01-2017;14:08:30;2
2-01-2017;14:08:32;2
2-01-2017;14:08:34;2
2-01-2017;14:08:36;0
2-01-2017;14:08:38;2
2-01-2017;14:08:40;0
2-01-2017;14:08:42;2
2-01-2017;14:08:44;1
2-01-2017;14:08:46;0
2-01-2017;14:08:48;2
2-01-2017;14:08:50;0
